query_id,product_class,query_type,split,mode,top1_iou,r1_iou_0.3,temporal_ap_0.3,r1_iou_0.5,temporal_ap_0.5,r1_iou_0.7,temporal_ap_0.7
VQ-039,Pressure Cooker,state,development,visual,1.000000,1,0.625000,1,0.625000,1,0.625000
VQ-040,Pressure Cooker,state,development,visual,0.000000,0,0.025000,0,0.033333,0,0.033333
VQ-041,Pressure Cooker,component,development,visual,0.000000,0,0.000000,0,0.000000,0,
VQ-042,Pressure Cooker,component,development,visual,0.000000,0,0.037037,0,0.037037,0,0.037037
VQ-043,Pressure Cooker,component,development,visual,0.000000,0,0.250000,0,0.250000,0,0.250000
VQ-044,Pressure Cooker,maintenance,development,visual,0.000000,0,0.000000,0,0.000000,0,0.000000
VQ-046,Pressure Cooker,maintenance,source_disjoint_test,visual,0.990228,1,1.000000,1,1.000000,1,1.000000
VQ-047,Pressure Cooker,troubleshooting,source_disjoint_test,visual,0.999498,1,0.428571,1,0.428571,1,0.428571
VQ-049,Pressure Cooker,troubleshooting,source_disjoint_test,visual,0.000000,0,0.500000,0,0.500000,0,0.500000
VQ-050,Pressure Cooker,safety,source_disjoint_test,visual,0.000000,0,0.000000,0,0.000000,0,0.000000
VQ-052,Printer,operation,development,visual,0.399678,1,1.000000,0,,0,
VQ-053,Printer,operation,development,visual,0.800661,1,1.000000,1,1.000000,1,1.000000
VQ-054,Printer,operation,development,visual,1.000000,1,0.666667,1,0.666667,1,0.666667
VQ-055,Printer,state,development,visual,0.000000,0,0.500000,0,0.500000,0,0.500000
VQ-056,Printer,state,development,visual,1.000000,1,0.685745,1,0.685745,1,0.616061
VQ-057,Printer,state,development,visual,0.000000,0,0.000000,0,0.000000,0,0.000000
VQ-058,Printer,component,development,visual,0.000000,0,0.071429,0,,0,
VQ-059,Printer,component,development,visual,0.000000,0,0.333333,0,0.333333,0,0.333333
VQ-061,Printer,maintenance,development,visual,0.000000,0,0.000000,0,0.000000,0,0.000000
VQ-063,Printer,maintenance,source_disjoint_test,visual,0.000000,0,0.291667,0,0.291667,0,0.291667
VQ-065,Printer,troubleshooting,source_disjoint_test,visual,0.000000,0,0.333333,0,0.333333,0,0.333333
VQ-066,Printer,troubleshooting,source_disjoint_test,visual,0.800661,1,0.700000,1,0.700000,1,0.700000
VQ-067,Printer,safety,source_disjoint_test,visual,0.000000,0,0.100000,0,0.100000,0,0.100000
VQ-068,Printer,safety,source_disjoint_test,visual,0.000000,0,,0,,0,
VQ-070,Vacuum,operation,development,visual,1.000000,1,0.477273,1,0.477273,1,0.666667
VQ-072,Vacuum,state,development,visual,0.000000,0,0.187500,0,0.166667,0,0.166667
VQ-073,Vacuum,state,development,visual,0.990909,1,0.833333,1,1.000000,1,1.000000
VQ-074,Vacuum,state,development,visual,0.981132,1,0.500000,1,1.000000,1,1.000000
VQ-075,Vacuum,component,development,visual,0.000000,0,0.100000,0,0.100000,0,0.100000
VQ-078,Vacuum,maintenance,development,visual,0.000000,0,0.071429,0,0.071429,0,
VQ-083,Vacuum,safety,source_disjoint_test,visual,0.000000,0,0.333333,0,0.333333,0,0.333333
VQ-086,Washing Machine,operation,development,visual,0.996638,1,0.875000,1,0.625000,1,0.625000
VQ-087,Washing Machine,operation,development,visual,0.000000,0,0.233333,0,0.233333,0,0.233333
VQ-088,Washing Machine,state,development,visual,0.000000,0,0.234722,0,0.234722,0,0.207407
VQ-090,Washing Machine,state,development,visual,0.000000,0,,0,,0,
VQ-091,Washing Machine,component,development,visual,0.996638,1,1.000000,1,1.000000,1,1.000000
VQ-092,Washing Machine,component,development,visual,0.996425,1,1.000000,1,1.000000,1,1.000000
VQ-093,Washing Machine,component,development,visual,0.000000,0,0.500000,0,0.500000,0,0.500000
VQ-094,Washing Machine,maintenance,development,visual,0.996425,1,1.000000,1,1.000000,1,1.000000
VQ-095,Washing Machine,maintenance,source_disjoint_test,visual,0.000000,0,,0,,0,
VQ-096,Washing Machine,maintenance,source_disjoint_test,visual,1.000000,1,0.583333,1,0.583333,1,0.583333
VQ-097,Washing Machine,troubleshooting,source_disjoint_test,visual,0.996425,1,0.500000,1,0.500000,1,0.500000
VQ-098,Washing Machine,troubleshooting,source_disjoint_test,visual,0.000000,0,0.333333,0,0.333333,0,
VQ-099,Washing Machine,safety,source_disjoint_test,visual,0.000000,0,0.166667,0,0.166667,0,0.166667
VQ-001,Air Fryer,operation,development,hybrid,0.996960,1,0.629021,1,0.608586,1,0.663912
VQ-002,Air Fryer,operation,development,hybrid,1.000000,1,0.547619,1,0.616071,1,0.642857
VQ-003,Air Fryer,operation,development,hybrid,1.000000,1,0.505952,1,0.505952,1,0.505952
VQ-004,Air Fryer,state,development,hybrid,0.000000,0,0.071970,0,0.071970,0,0.071970
VQ-005,Air Fryer,state,development,hybrid,1.000000,1,0.189078,1,0.194591,1,0.205401
VQ-006,Air Fryer,state,development,hybrid,1.000000,1,0.599678,1,0.570813,1,0.570813
VQ-007,Air Fryer,component,development,hybrid,0.997807,1,0.406827,1,0.405387,1,0.345796
VQ-008,Air Fryer,component,development,hybrid,0.000000,0,0.202486,0,0.202486,0,0.149725
VQ-009,Air Fryer,component,development,hybrid,1.000000,1,0.315789,1,0.333333,1,0.333333
VQ-010,Air Fryer,maintenance,development,hybrid,1.000000,1,0.538095,1,0.458554,1,0.458554
VQ-011,Air Fryer,maintenance,source_disjoint_test,hybrid,0.997184,1,0.333333,1,0.312500,1,0.190476
VQ-012,Air Fryer,maintenance,source_disjoint_test,hybrid,0.989793,1,0.208333,1,0.227273,1,0.227273
VQ-013,Air Fryer,troubleshooting,source_disjoint_test,hybrid,0.000000,0,0.000000,0,0.000000,0,0.000000
VQ-014,Air Fryer,troubleshooting,source_disjoint_test,hybrid,0.000000,0,0.058824,0,,0,
VQ-016,Air Fryer,safety,source_disjoint_test,hybrid,0.990777,1,0.281548,1,0.281548,1,0.321769
